IDENT,LAT,LONG,COMMENT,ALTITUDE,N£mero de Individuos,Presen‡a do Lixo,Numero de Barracas,,,,,
299,-25.95134586,32.59078254,01-FEB-15 9:03:20AM,57.00,1,LA,Barraca,,,,,
300,-25.95178650,32.59045950,01-FEB-15 9:03:33AM,58.00,1,Ausente,ausente,,,,,
301,-25.95201851,32.58937924,01-FEB-15 9:04:55AM,56.00,3,Ausente,ausente,,,,,
302,-25.95129129,32.58978426,01-FEB-15 9:05:23AM,57.00,0,Ausente,ausente,,,,,
303,-25.95054455,32.59034375,01-FEB-15 9:05:43AM,56.00,0,Ausente,Barraca,,,,,
304,-25.94836626,32.59187403,01-FEB-15 9:06:37AM,54.00,0,Ausente,Barracas,,,,,
305,-25.94531483,32.59406816,01-FEB-15 9:07:50AM,51.00,0,Ausente,Barracas,,,,,
306,-25.94445895,32.59468432,01-FEB-15 9:08:14AM,49.00,0,Ausente,Barracas,,,,,
307,-25.94374557,32.59519653,01-FEB-15 9:08:31AM,49.00,2,Ausente,ausente,,,,,
308,-25.94332388,32.59550222,01-FEB-15 9:08:50AM,49.00,3,Ausente,ausente,,,,,
309,-25.94325565,32.59555134,01-FEB-15 9:08:55AM,49.00,0,Ausente,Barracas,,,,,
310,-25.94275433,32.59590589,01-FEB-15 9:09:13AM,49.00,0,Ausente,Barraca,,,,,
311,-25.94201303,32.59642448,01-FEB-15 9:09:33AM,49.00,0,Ausente,Barraca,,,,,
312,-25.94134675,32.59690435,01-FEB-15 9:09:49AM,50.00,0,Ausente,Barraca,,,,,
313,-25.94002124,32.59786005,01-FEB-15 9:10:18AM,52.00,0,Ausente,Barraca,,,,,
314,-25.93877024,32.59876136,01-FEB-15 9:10:45AM,53.00,0,Ausente,Barracas,,,,,
315,-25.93755344,32.59966250,01-FEB-15 9:11:14AM,53.00,0,Ausente,Barracas,,,,,
316,-25.93639397,32.60010179,01-FEB-15 9:11:59AM,52.00,0,Ausente,Barracas,,,,,
317,-25.93645566,32.59968446,01-FEB-15 9:12:15AM,53.00,1,Ausente,ausente,,,,,
318,-25.93653923,32.59904131,01-FEB-15 9:12:52AM,54.00,0,Ausente,Barracas,,,,,
319,-25.93668650,32.59677200,01-FEB-15 9:13:57AM,55.00,0,Ausente,Barracas,,,,,
320,-25.93663897,32.59600245,01-FEB-15 9:14:18AM,53.00,0,LA,Barraca,,,,,
321,-25.93645097,32.59405894,01-FEB-15 9:15:18AM,49.00,0,LA,Barracas,,,,,
322,-25.93593716,32.59152275,01-FEB-15 9:16:34AM,50.00,0,Ausente,Barracas,,,,,
323,-25.93562585,32.58975433,01-FEB-15 9:17:24AM,53.00,0,Ausente,Barracas,,,,,
324,-25.93541748,32.58863074,01-FEB-15 9:17:58AM,54.00,0,Ausente,Barracas,,,,,
325,-25.93507902,32.58683994,01-FEB-15 9:18:57AM,51.00,0,Ausente,ausente,,,,,
326,-25.93584135,32.58543782,01-FEB-15 9:19:58AM,48.00,0,Ausente,Barracas,,,,,
327,-25.93670108,32.58524160,01-FEB-15 9:20:19AM,45.00,0,Ausente,Barracas,,,,,
328,-25.93819994,32.58470809,01-FEB-15 9:20:49AM,43.00,0,Ausente,Barracas,,,,,
329,-25.93922923,32.58432931,01-FEB-15 9:21:13AM,39.00,0,Ausente,Barraca,,,,,
330,-25.94012727,32.58411448,01-FEB-15 9:21:40AM,38.00,0,Ausente,Barracas,,,,,
331,-25.94153577,32.58388440,01-FEB-15 9:22:18AM,38.00,0,Ausente,Barracas,,,,,
332,-25.94309798,32.58344083,01-FEB-15 9:22:54AM,37.00,0,Ausente,Barraca,,,,,
333,-25.94475525,32.58287011,01-FEB-15 9:23:30AM,35.00,0,Ausente,Barraca,,,,,
334,-25.94677982,32.58219461,01-FEB-15 9:24:27AM,35.00,0,Ausente,Barracas,,,,,
